Series Name,Series Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.08380479,58.15126566,58.13440044,58.12366803,58.12980084,58.13286724,58.13286724,58.13440044,58.13133404,58.12980084,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Pakistan,PAK,47.79213367,46.75825031,46.65447281,46.875,46.71673931,45.80868618,45.7619863,45.71658364,46.61685347,46.78160025,47.06309672,47.0267746,46.96191366,47.72986716,48.00098589,47.93612495,47.11887713,47.63776463,47.09293275,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Qatar,QAT,5.701981051,5.615848407,5.56416882,5.624461671,5.684754522,5.745047373,5.805340224,5.865633075,5.925925926,5.986218777,6.046511628,6.179286336,6.179286336,6.179286336,6.266318538,6.440382942,6.440382942,6.440382942,6.440382942,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Japan,JPN,14.10150892,14.01920439,13.93689986,13.86392318,13.7909465,13.71522634,13.64773663,13.58847737,13.4951989,13.45679012,13.42112483,13.36076818,13.29492455,13.20438957,13.10836763,13.02057613,12.93552812,12.84499314,12.781893,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Italy,ITA,50.40951176,50.32835336,49.83125816,48.02886534,47.89021974,48.88846807,47.28288437,48.45088902,46.84395268,46.42598692,46.09120852,44.5086197,43.77481249,43.32505969,43.3743296,41.94874847,44.36999564,42.33226362,41.94223159,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,New Zealand,NZL,45.03437013,45.15589989,44.47989062,43.20003038,43.62538453,43.19623258,43.63677794,43.32535794,43.18483916,42.5711139,42.17842087,42.21639892,40.68208575,40.30990088,40.42383502,39.86935551,39.28829137,38.56291064,38.64266454,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United Kingdom,GBR,70.08638862,70.47906419,70.08638862,73.73207126,72.9425867,73.0955235,71.6116232,71.19414707,70.94614145,71.02054313,71.30244286,71.22721448,70.83867234,71.71488364,72.19506675,71.71852023,72.4229988,71.34004919,71.15752904,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,27.35472246,27.36712953,27.3795366,27.39257777,27.47881706,27.56505634,27.65129562,27.73753491,27.82377419,27.91001347,27.99625275,28.08249204,28.16873132,28.2549706,28.34106631,28.41562848,28.4901295,28.56461856,28.63909446,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Canada,CAN,6.909305467,6.893132521,6.876959575,6.757391315,6.693145683,6.62890005,6.564654418,6.500408785,6.435683541,6.443636169,6.451555335,6.459474502,6.467505206,6.474755147,6.454410697,6.456819908,6.434356244,6.370735222,6.484576786,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,55.88438929,55.94764475,56.01090318,56.07415984,56.1374177,56.20067197,56.26392504,56.18347308,56.10366022,56.02352781,55.94339539,55.86326298,55.78313057,55.70300409,55.62287167,55.54273924,55.46264943,55.46264943,55.46264943,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,1653.207,1292.307,1961.711,2283.68,2847.81,4375.64,6558.97,8576.15,11961.89,10208.13,9402.05,9281.34,10057.59,9294.93,10022.78,10972.38,11238.83,8709.47,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Pakistan,PAK,105663.5,118313.6,121608.7,132304.2,145813.3,140734.2,145337.9,140378.6,141690,143819.1,145993.7,154235.2,164152.3,181113.3,198738.8,186865.6,184096.3,184111.2,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Qatar,QAT,34744.2,37074.4,38536.6,43940.5,50026.5,53279.3,54310.2,60912.1,68521.5,75430.1,76540.7,82167.8,85211.3,87066.7,87472.1,87099.4,89486.8,87578.3,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Japan,JPN,1213929.5,1207285.7,1215474.4,1193043.3,1227990.8,1158836.1,1102386.2,1157241.8,1213775.6,1254319.4,1267376.2,1217306.6,1178349.1,1164869.4,1150835,1111115.3,1073645.3,1014064.7,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Italy,ITA,462197.8,472404.8,473831.8,466654.5,459371.1,444984.5,397057.1,405272.3,396687.4,376747.2,346458.3,327498,337862.1,333344.8,329193.3,324884.2,317223,281286.8,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,New Zealand,NZL,33397.6,32836.1,34232.2,34265.9,33270.5,34165.4,31169.7,31049.3,30290.6,32107.4,31885.5,31970.7,32281.2,31185.7,32927.4,32409,34008.2,31359.7,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,United Kingdom,GBR,543037.1,543075.9,540917,542060.8,530502.5,515335.6,466492.5,482646.2,445648.4,467831,453778.1,415609,401075.3,382154.9,366844.1,360555.9,345934.3,308650.3,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,310808.1,328517.3,331689.1,335624.6,352555.8,373633.1,350000.9,397931.1,418295.4,454232.9,486844.7,511618,485344.1,447077.3,455684.8,433838.8,434318,414138.8,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,544541.8,536417.3,549032.7,540525.6,571632,550553.2,521399.4,537091.5,549369.9,546291.6,555742.4,561760.5,558747.2,556874.1,568175.9,579573.9,566001.8,516873.7,..,..
